"#","Reference","Qty","Value","DNP","Footprint","Description","Digikey","Manufacturer","MPN"
"1","C1,C2,C9,C10,C11,C12,C13,C18,C19,C20,C21,C22","12","10uF","","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","490-18663-1-ND","Murata Electronics","GRM21BR61H106KE43L"
"2","C3,C4,C5,C6,C7,C8,C14,C15,C16,C17","10","100nF","","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","399-C0805C104K5RACTUCT-ND","KEMET","C0805C104K5RACTU"
"3","J1,J2,J3","3","RF2-152-T-00-50-G-HDW","","Connector_Coaxial:SMA_Wurth_60312002114503_Vertical","SMA JACK STR PCB 50OHM 18GHZ BRS","2057-RF2-152-T-00-50-G-HDW-ND","Adam Tech","RF2-152-T-00-50-G-HDW"
"4","J4","1","WM4111-ND","","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","CONN HEADER VERT 2POS 2.54MM","WM4111-ND","Molex","0022272021"
"5","R1,R2,R8,R9,R15,R16","6","1k","","Resistor_SMD:R_0805_2012Metric","Resistor, small US symbol","311-1.00KCRCT-ND","YAGEO","RC0805FR-071KL"
"6","R3","1","220","","Resistor_SMD:R_0805_2012Metric","Resistor, small US symbol","311-220CRCT-ND","YAGEO","RC0805FR-07220RL"
"7","R4,R12","2","510k","","Resistor_SMD:R_0805_2012Metric","Resistor, small US symbol","13-RC0805FR-13510KLCT-ND","YAGEO","RC0805FR-13510KL"
"8","R5,R7,R13,R14,R17","5","10k","","Resistor_SMD:R_0805_2012Metric","Resistor, small US symbol","311-10.0KCRCT-ND","YAGEO","RC0805FR-0710KL"
"9","R6,R10,R11","3","100k","","Resistor_SMD:R_0805_2012Metric","Resistor, small US symbol","311-100KCRCT-ND","YAGEO","RC0805FR-07100KL"
"10","RV1,RV2","2","R_Potentiometer_US","DNP","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Potentiometer, US symbol","","",""
"11","U1,U3","2","ADA4841-2","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","IC OPAMP GP 2 CIRCUIT 8SOIC","505-ADA4841-2YRZ-R7CT-ND","Analog Devices Inc.","ADA4841-2YRZ-R7"
"12","U2","1","LTC3260xMSE","","Package_SO:MSOP-16-1EP_3x4.039mm_P0.5mm_EP1.651x2.845mm_ThermalVias","IC REG CHARGE PUMP INV DL 16MSOP","LTC3260EMSE#TRPBFCT-ND","Analog Devices Inc.","LTC3260EMSE#TRPBF"
"13","U4","1","L78L05_SOT89","","Package_TO_SOT_SMD:SOT-89-3","IC REG LINEAR 5V 100MA SOT89-3","497-1181-1-ND","STMicroelectronics","L78L05ABUTR"
"14","U5","1","L79L05","","Package_TO_SOT_SMD:SOT-89-3","IC REG LINEAR -5V 100MA SOT89-3","497-1217-1-ND","STMicroelectronics","L79L05ABUTR"
